type,feature,magnitude,mae_normal,mae_anomaly,snr,maha_dist,is_freeze,detected_recon,detected_maha,detected
spike,dynamic_tensile_strength,0.1,0.03789499029517174,0.03908799588680267,1.0314818542202155,85.26766220359382,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.007123694755136967,0.009047484956681728,1.2700549360432045,2.369321133340568,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.012154717929661274,0.014035089872777462,1.1547029556173036,3.757226022249371,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.01988206058740616,0.021769531071186066,1.0949332882549505,20.078990842848384,True,False,True,True
spike,dynamic_tensile_strength,0.1,0.009984073229134083,0.011077918112277985,1.1095588692592053,1.0217090024283069,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.03536901995539665,0.036486897617578506,1.031606095729695,85.35430814105213,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.07680033892393112,0.07836028933525085,1.020311751391528,80.4039674693829,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.07779218256473541,0.07932184636592865,1.0196634511476377,78.51211457877372,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.008609150536358356,0.009670879691839218,1.1233255276082608,3.963695627931565,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.07749069482088089,0.07918131351470947,1.0218170410772467,77.90829492839194,True,True,True,True
spike,dynamic_tensile_strength,0.1,0.0072662062011659145,0.007882468402385712,1.0848119499153441,1.2348702344833595,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.008615698665380478,0.01079917885363102,1.253430281120891,4.186083987730671,True,False,False,True
spike,dynamic_tensile_strength,0.1,0.011557095684111118,0.01360100507736206,1.1768531015285995,3.799707200502749,True,False,False,True
drift_end,ejection,0.1,0.09293074905872345,0.09293074905872345,0.9999999892392991,77.68039295649926,True,True,True,True
drift_end,ejection,0.1,0.007049950771033764,0.007049950771033764,0.999999858155058,2.5298645610765997,True,False,False,True
drift_end,ejection,0.1,0.008597592823207378,0.008597592823207378,0.9999998836883877,2.06244700985409,True,False,False,True
drift_end,ejection,0.1,0.034136638045310974,0.034136638045310974,0.999999970705962,85.36038749654931,True,False,True,True
drift_end,ejection,0.1,0.007388423662632704,0.007388423662632704,0.9999998646531506,3.059001657462546,True,False,False,True
drift_end,ejection,0.1,0.00757076358422637,0.00757076358422637,0.9999998679129447,1.509886662643001,True,False,False,True
drift_end,ejection,0.1,0.020147161558270454,0.020147161558270454,0.999999950365219,4.469325358181922,True,False,False,True
drift_end,ejection,0.1,0.025749871507287025,0.025749871507287025,0.9999999611648562,24.31013215704579,True,False,True,True
drift_end,ejection,0.1,0.023825611919164658,0.023825611919164658,0.9999999580283621,1.8246677826040911,True,False,False,True
drift_end,ejection,0.1,0.07977471500635147,0.07977471500635147,0.9999999874647,76.33883660192409,True,True,True,True
drift_end,ejection,0.1,0.07963026314973831,0.07963026314973831,0.9999999874419605,83.24904423831761,True,True,True,True
drift_end,ejection,0.1,0.047020215541124344,0.047020215541124344,0.9999999787325522,20.521234582806784,True,True,True,True
drift_end,ejection,0.1,0.036651257425546646,0.036651257425546646,0.9999999727158072,85.19673945968951,True,True,True,True
drift_end,ejection,0.1,0.07344698160886765,0.07344698160886765,0.9999999863847367,84.84136233742336,True,True,True,True
drift_end,ejection,0.1,0.03547824174165726,0.03547824174165726,0.9999999718137111,85.22722344679799,True,False,True,True
drift_end,ejection,0.1,0.032471220940351486,0.032471220940351486,0.9999999692034997,4.789763441160988,True,False,False,True
